iso_code,country,sdg_region,bound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,
BDI,Burundi,Sub-Saharan Africa,Upper,188.7491,190.1180,191.6215,217.4994,191.9534,190.7215,188.3735,184.7927,180.1989,175.4614,170.1703,164.6838,159.3289,153.4904,146.9963,139.5537,131.4113,123.6482,116.5221,110.2569,104.4394,99.5581,95.6785,92.4591,89.7894,87.8008,86.6326,85.8629,85.3995,84.8587,84.4754,84.2485,84.0974,83.7863,,,,,,,,,
BEL,Belgium,Europe and Northern America,Lower,9.7832,9.4153,8.9950,8.5180,8.0028,7.4741,6.9747,6.5389,6.2042,5.9427,5.7195,5.5265,5.3474,5.1848,5.0327,4.8946,4.7734,4.6553,4.5445,4.4368,4.3386,4.2505,4.1696,4.0954,4.0309,3.9840,3.9480,3.9108,3.8646,3.8036,3.7124,3.5818,3.4218,3.2494,,,,,,,,,
BEL,Belgium,Europe and Northern America,Median,9.9911,9.6220,9.2013,8.7123,8.1809,7.6535,7.1603,6.7318,6.3857,6.1072,5.8752,5.6731,5.4906,5.3239,5.1694,5.0297,4.9036,4.7853,4.6691,4.5593,4.4589,4.3700,4.2894,4.2169,4.1536,4.1051,4.0672,4.0311,3.9864,3.9290,3.8588,3.7794,3.6963,3.6026,,,,,,,,,
BEL,Belgium,Europe and Northern America,Upper,10.2041,9.8414,9.4396,8.9346,8.3750,7.8310,7.3392,6.9145,6.5581,6.2698,6.0300,5.8226,5.6405,5.4696,5.3103,5.1671,5.0357,4.9167,4.7971,4.6867,4.5832,4.4924,4.4093,4.3383,4.2771,4.2287,4.1917,4.1582,4.1161,4.0677,4.0225,3.9883,3.9670,3.9628,,,,,,,,,
BEN,Benin,Sub-Saharan Africa,Lower,162.0832,158.2428,154.3998,150.6023,146.9619,143.4667,140.2515,137.1313,133.9889,130.8341,127.6322,124.4470,121.3207,118.1885,115.2282,112.3143,109.6379,107.1674,104.6640,102.2856,100.0465,97.6294,95.2852,92.8152,90.3544,87.8874,85.2107,82.5055,79.3337,75.6477,71.6362,67.6394,63.5356,59.5607,,,,,,,,,
BEN,Benin,Sub-Saharan Africa,Median,172.2055,168.0210,163.9401,159.8771,156.0683,152.4269,149.0383,145.8067,142.5710,139.3249,136.0878,132.8159,129.6001,126.4756,123.4943,120.6116,117.9130,115.3926,112.9716,110.6482,108.3626,106.1614,103.8686,101.6039,99.3472,97.1158,94.9725,92.7300,90.4570,88.0035,85.5446,83.0583,80.4331,77.9021,,,,,,,,,
BEN,Benin,Sub-Saharan Africa,Upper,183.3570,178.6338,174.1629,169.7640,165.6360,161.8118,158.2376,154.8717,151.5852,148.2379,144.9261,141.5990,138.3163,135.0988,132.1095,129.3544,126.6846,124.1112,121.7944,119.5134,117.3978,115.3394,113.2929,111.2608,109.3364,107.5813,105.8250,104.2675,102.8022,101.9908,101.2846,101.4424,101.7530,102.4475,,,,,,,,,
BFA,Burkina Faso,Sub-Saharan Africa,Lower,185.4801,184.9539,184.5593,184.3553,183.4757,181.8743,179.5926,176.5433,173.2400,169.7101,165.7999,161.7139,157.2286,152.2045,146.7358,140.7032,134.2480,127.6320,121.3068,115.3686,109.7231,104.3283,99.0087,93.6650,88.4451,83.4679,78.7430,74.0984,69.7365,65.2476,61.0960,56.9070,53.4520,50.0647,,,,,,,,,
BFA,Burkina Faso,Sub-Saharan Africa,Median,198.2808,197.6250,197.2876,196.8863,195.9368,194.2895,191.7839,188.7419,185.3872,181.7991,178.1050,173.9669,169.3199,164.2540,158.5658,152.2983,145.7125,139.0207,132.7107,126.8147,121.5205,116.8348,112.5655,108.5541,104.7150,101.0825,97.6642,94.2873,91.2302,88.2485,85.2543,82.4705,79.8947,77.2720,,,,,,,,,
BFA,Burkina Faso,Sub-Saharan Africa,Upper,212.1196,211.0888,210.7079,210.2344,209.3333,207.7069,204.7736,201.5894,198.0881,194.6304,190.9135,186.6865,182.3139,177.2244,171.5706,164.9906,158.2391,151.4254,145.1494,139.6312,134.8045,130.6325,127.7017,125.2950,123.6370,122.3744,121.3003,120.6730,120.2970,120.0349,119.9080,120.1678,119.6876,119.6520,,,,,,,,,
BGD,Bangladesh,Central and Southern Asia,Lower,141.1922,135.2549,129.2816,123.2492,117.3029,111.4157,105.5058,99.6165,93.7944,88.0602,82.5919,77.4689,72.7638,68.5239,64.6562,61.1046,57.8356,54.7950,52.0037,49.4278,47.1529,45.0211,42.9834,41.0418,39.1284,37.2361,35.3791,33.5738,31.9676,30.7358,30.0078,29.7962,29.6964,29.2123,,,,,,,,,
BGD,Bangladesh,Central and Southern Asia,Median,145.9690,139.8323,133.6521,127.4197,121.2320,115.1126,109.0823,103.0328,96.9619,91.0475,85.4054,80.1241,75.2790,70.8643,66.8584,63.1687,59.8077,56.7093,53.8599,51.2642,48.9059,46.7462,44.6887,42.7050,40.7347,38.7933,36.9130,35.1821,33.6612,32.4252,31.5442,30.9672,30.6670,30.5562,,,,,,,,,
BGD,Bangladesh,Central and Southern Asia,Upper,150.8026,144.4070,138.1401,131.8259,125.5112,119.2255,112.9336,106.5715,100.3279,94.2372,88.3784,82.8314,77.8571,73.2937,69.1798,65.3827,61.8531,58.7393,55.7948,53.1719,50.7623,48.5586,46.4859,44.4665,42.4859,40.4504,38.4889,36.7167,35.1785,33.8687,32.8170,32.0427,31.6983,32.0874,,,,,,,,,
BGR,Bulgaria,Europe and Northern America,Lower,17.9458,18.4528,18.7690,18.8021,18.6591,18.7777,18.9451,18.8527,18.4464,17.7784,17.0907,16.3596,15.5637,14.7325,13.8214,12.9331,12.0925,11.4681,11.1277,10.8491,10.5304,10.1109,9.5878,9.0074,8.3996,7.8873,7.4334,7.0433,6.7188,6.4324,6.2171,6.0524,5.8932,5.6803,,,,,,,,,
